,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,,,,,,,
41,574056,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,11/2/11 14:09,2.55,14646,Netherlands,,,,,,,
42,569486,84744,S/6 SEW ON CROCHET FLOWERS,2,10/4/11 12:51,1.25,15339,United Kingdom,,,,,,,
43,558068,22662,LUNCH BAG DOLLY GIRL DESIGN,1,6/24/11 15:51,4.13,,United Kingdom,,,,,,,
44,562784,22662,LUNCH BAG DOLLY GIRL DESIGN,1,8/9/11 13:22,1.65,16791,United Kingdom,,,,,,,
45,580126,22662,LUNCH BAG DOLLY GIRL DESIGN,10,12/1/11 17:20,1.65,12562,France,,,,,,,
46,536804,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,12/2/10 16:34,2.95,14031,United Kingdom,,,,,,,
47,548521,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/31/11 16:41,2.95,17735,United Kingdom,,,,,,,
48,553044,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,5/13/11 9:24,2.95,12682,France,,,,,,,
49,543040,22681,FRENCH BLUE METAL DOOR SIGN 6,2,2/2/11 17:06,1.25,17337,United Kingdom,,,,,,,
50,578089,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,11/22/11 17:02,2.95,12483,Sweden,,,,,,,
51,540635,22681,FRENCH BLUE METAL DOOR SIGN 6,10,1/10/11 12:03,1.25,14229,United Kingdom,,,,,,,
52,562131,22662,LUNCH BAG DOLLY GIRL DESIGN,10,8/3/11 9:30,1.65,18178,United Kingdom,,,,,,,
53,543188,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2/4/11 11:45,1.65,12567,France,,,,,,,
54,539043,22662,LUNCH BAG DOLLY GIRL DESIGN,20,12/15/10 15:45,1.65,12928,United Kingdom,,,,,,,
55,545937,22662,LUNCH BAG DOLLY GIRL DESIGN,20,3/8/11 12:05,1.65,12758,Portugal,,,,,,,
56,577613,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,11/21/11 10:02,2.95,14911,EIRE,,,,,,,
57,558057,22662,LUNCH BAG DOLLY GIRL DESIGN,10,6/24/11 14:57,1.65,15665,United Kingdom,,,,,,,
58,560018,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,7/14/11 12:52,2.95,15987,United Kingdom,,,,,,,
59,563555,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,8/17/11 13:21,2.95,16755,United Kingdom,,,,,,,
60,549313,22662,LUNCH BAG DOLLY GIRL DESIGN,30,4/8/11 9:45,1.65,12393,Australia,,,,,,,
61,555536,22681,FRENCH BLUE METAL DOOR SIGN 6,10,6/5/11 12:28,1.25,17675,United Kingdom,,,,,,,
62,561085,22662,LUNCH BAG DOLLY GIRL DESIGN,10,7/25/11 9:26,1.65,14367,United Kingdom,,,,,,,
63,544479,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,96,2/21/11 10:28,2.55,14646,Netherlands,,,,,,,
64,561025,22662,LUNCH BAG DOLLY GIRL DESIGN,1,7/24/11 10:37,1.65,16241,United Kingdom,,,,,,,
65,547796,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,3/25/11 12:34,2.55,14646,Netherlands,,,,,,,
66,552878,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,5/12/11 9:54,2.95,12625,Germany,,,,,,,
67,556491,22662,LUNCH BAG DOLLY GIRL DESIGN,2,6/12/11 14:15,1.65,16794,United Kingdom,,,,,,,
68,551414,22681,FRENCH BLUE METAL DOOR SIGN 6,10,4/28/11 13:35,1.25,15622,United Kingdom,,,,,,,
69,551544,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,5/3/11 9:33,2.95,12683,France,,,,,,,
70,570258,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,3,10/10/11 9:56,4.13,,United Kingdom,,,,,,,
71,552543,22662,LUNCH BAG DOLLY GIRL DESIGN,10,5/10/11 10:22,1.65,12399,Belgium,,,,,,,
72,567280,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,9/19/11 11:46,2.55,14646,Netherlands,,,,,,,
73,562102,22662,LUNCH BAG DOLLY GIRL DESIGN,20,8/2/11 14:21,1.65,13089,United Kingdom,,,,,,,
74,579787,22681,FRENCH BLUE METAL DOOR SIGN 6,1,11/30/11 15:33,2.46,,United Kingdom,,,,,,,
75,549902,22662,LUNCH BAG DOLLY GIRL DESIGN,100,4/12/11 16:17,1.45,14006,United Kingdom,,,,,,,
76,542100,84744,S/6 SEW ON CROCHET FLOWERS,2,1/25/11 13:15,1.25,15339,United Kingdom,,,,,,,
77,558778,22662,LUNCH BAG DOLLY GIRL DESIGN,10,7/4/11 10:27,1.65,17160,United Kingdom,,,,,,,
78,563613,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,8/18/11 8:49,2.95,12688,Israel,,,,,,,
79,578092,22662,LUNCH BAG DOLLY GIRL DESIGN,20,11/22/11 17:19,1.65,16811,United Kingdom,,,,,,,
80,540519,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1/9/11 12:12,1.65,12793,Portugal,,,,,,,
81,578817,22662,LUNCH BAG DOLLY GIRL DESIGN,2,11/25/11 13:45,1.65,16764,United Kingdom,,,,,,,
82,555115,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,5/31/11 14:58,4.13,,United Kingdom,,,,,,,
83,559704,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,7/12/11 9:54,2.95,12669,France,,,,,,,
84,549387,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,4/8/11 11:33,2.95,13178,United Kingdom,,,,,,,
85,550201,22662,LUNCH BAG DOLLY GIRL DESIGN,10,4/15/11 10:25,1.65,12769,Brazil,,,,,,,
86,569082,22662,LUNCH BAG DOLLY GIRL DESIGN,10,9/30/11 11:55,1.65,18229,United Kingdom,,,,,,,
87,572865,22681,FRENCH BLUE METAL DOOR SIGN 6,1,10/26/11 13:01,1.25,17841,United Kingdom,,,,,,,
88,541570,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,192,1/19/11 12:34,2.55,14646,Netherlands,,,,,,,
89,547796,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,3/25/11 12:34,2.55,14646,Netherlands,,,,,,,
90,541139,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1/14/11 11:05,1.65,15213,United Kingdom,,,,,,,
91,567892,22662,LUNCH BAG DOLLY GIRL DESIGN,10,9/22/11 15:51,1.65,15394,United Kingdom,,,,,,,
92,547005,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/18/11 14:20,2.95,12474,Germany,,,,,,,
93,557263,22662,LUNCH BAG DOLLY GIRL DESIGN,100,6/19/11 11:08,1.45,14646,Netherlands,,,,,,,
94,569331,22662,LUNCH BAG DOLLY GIRL DESIGN,10,10/3/11 13:39,1.65,16875,United Kingdom,,,,,,,
95,555350,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,6/2/11 12:08,2.95,17652,United Kingdom,,,,,,,
96,555553,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,6/5/11 13:45,2.95,12662,Germany,,,,,,,
97,548373,22662,LUNCH BAG DOLLY GIRL DESIGN,2,3/30/11 16:34,4.13,,United Kingdom,,,,,,,
98,567482,22662,LUNCH BAG DOLLY GIRL DESIGN,2,9/20/11 13:42,1.65,16464,United Kingdom,,,,,,,
99,556243,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,6/9/11 16:07,5.79,,United Kingdom,,,,,,,
100,C548731,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-624,4/4/11 10:12,2.55,12755,Japan,,,,,,,
101,554157,22662,LUNCH BAG DOLLY GIRL DESIGN,2,5/23/11 11:33,1.65,18283,United Kingdom,,,,,,,
102,578017,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,11/22/11 13:07,2.95,13569,United Kingdom,,,,,,,
103,549313,22662,LUNCH BAG DOLLY GIRL DESIGN,30,4/8/11 9:45,1.65,12393,Australia,,,,,,,
104,547890,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,5,3/28/11 10:03,2.95,17227,United Kingdom,,,,,,,
105,552731,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,24,5/11/11 10:43,2.95,12372,Denmark,,,,,,,
106,540821,22681,FRENCH BLUE METAL DOOR SIGN 6,1,1/11/11 13:16,2.51,,United Kingdom,,,,,,,
107,553162,22681,FRENCH BLUE METAL DOOR SIGN 6,1,5/13/11 15:53,2.46,,United Kingdom,,,,,,,
108,545988,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/8/11 12:52,2.95,12662,Germany,,,,,,,
109,562779,22662,LUNCH BAG DOLLY GIRL DESIGN,2,8/9/11 12:58,1.65,17841,United Kingdom,,,,,,,
110,554132,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,5/23/11 9:43,2.95,12360,Austria,,,,,,,
111,565579,22662,LUNCH BAG DOLLY GIRL DESIGN,3,9/5/11 12:35,1.65,18283,United Kingdom,,,,,,,
112,552530,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,5/10/11 8:58,2.95,13055,United Kingdom,,,,,,,
113,537892,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,12/9/10 10:13,2.95,12481,Germany,,,,,,,
114,539453,22662,LUNCH BAG DOLLY GIRL DESIGN,2,12/17/10 17:08,4.21,,United Kingdom,,,,,,,
115,569332,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,10/3/11 13:46,2.95,12637,France,,,,,,,
116,542536,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,3,1/28/11 13:37,4.13,,United Kingdom,,,,,,,
117,544684,21061,PARTY INVITES FOOTBALL,2,2/22/11 16:32,1.63,,United Kingdom,,,,,,,
118,545017,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2/25/11 13:51,2.95,12361,Belgium,,,,,,,
119,553224,22662,LUNCH BAG DOLLY GIRL DESIGN,4,5/16/11 10:40,1.65,17228,United Kingdom,,,,,,,
120,545709,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/7/11 9:49,2.95,12708,Germany,,,,,,,
121,540681,22681,FRENCH BLUE METAL DOOR SIGN 6,1,1/10/11 16:25,2.51,,United Kingdom,,,,,,,
122,539475,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,12/19/10 14:41,2.95,16686,United Kingdom,,,,,,,
123,581193,22662,LUNCH BAG DOLLY GIRL DESIGN,1,12/7/11 17:05,1.65,17097,Spain,,,,,,,
124,554699,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,5/26/11 9:17,2.95,12613,Germany,,,,,,,
125,537434,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,12/6/10 16:57,5.91,,United Kingdom,,,,,,,
126,562153,22662,LUNCH BAG DOLLY GIRL DESIGN,30,8/3/11 11:21,1.45,14088,United Kingdom,,,,,,,
127,566786,22662,LUNCH BAG DOLLY GIRL DESIGN,10,9/15/11 10:29,1.65,13518,United Kingdom,,,,,,,
128,550821,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,4/21/11 8:54,2.95,12506,France,,,,,,,
129,549680,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,4/11/11 13:02,2.95,12701,Germany,,,,,,,
130,579161,22662,LUNCH BAG DOLLY GIRL DESIGN,1,11/28/11 13:56,1.65,17379,United Kingdom,,,,,,,
131,568100,22662,LUNCH BAG DOLLY GIRL DESIGN,10,9/23/11 15:20,1.65,15475,United Kingdom,,,,,,,
132,542219,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,1/26/11 12:36,2.95,17735,United Kingdom,,,,,,,
133,547109,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/21/11 11:46,2.95,12423,Belgium,,,,,,,
134,541999,22681,FRENCH BLUE METAL DOOR SIGN 6,1,1/25/11 10:45,2.46,,United Kingdom,,,,,,,
135,562039,22662,LUNCH BAG DOLLY GIRL DESIGN,10,8/2/11 9:55,1.65,12593,France,,,,,,,
136,558420,22662,LUNCH BAG DOLLY GIRL DESIGN,4,6/29/11 11:46,1.65,14577,United Kingdom,,,,,,,
137,564167,22662,LUNCH BAG DOLLY GIRL DESIGN,10,8/23/11 13:50,1.65,17735,United Kingdom,,,,,,,
138,C564138,22662,LUNCH BAG DOLLY GIRL DESIGN,-1,8/23/11 11:36,1.65,12753,Japan,,,,,,,
139,542216,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1/26/11 12:29,1.65,14911,EIRE,,,,,,,
140,545027,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2/25/11 14:59,4.13,,United Kingdom,,,,,,,
141,554157,22662,LUNCH BAG DOLLY GIRL DESIGN,2,5/23/11 11:33,1.65,18283,United Kingdom,,,,,,,
142,555633,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,6/6/11 12:22,2.95,14534,United Kingdom,,,,,,,
143,541405,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,1/17/11 15:17,2.95,12683,France,,,,,,,
144,570423,22662,LUNCH BAG DOLLY GIRL DESIGN,5,10/10/11 13:38,1.65,14451,United Kingdom,,,,,,,
145,545301,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/1/11 12:26,2.95,12679,France,,,,,,,
146,550819,21061,PARTY INVITES FOOTBALL,4,4/20/11 17:37,0.85,17530,United Kingdom,,,,,,,
147,555349,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,6/2/11 12:08,2.95,16729,United Kingdom,,,,,,,
148,557055,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,24,6/16/11 14:45,2.95,12621,Germany,,,,,,,
149,546540,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,18,3/14/11 15:05,2.55,15061,United Kingdom,,,,,,,
150,565246,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,9/2/11 10:27,2.55,12408,Belgium,,,,,,,
151,537666,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,12/7/10 18:36,5.91,,United Kingdom,,,,,,,
152,553887,22662,LUNCH BAG DOLLY GIRL DESIGN,10,5/19/11 16:04,1.65,17068,United Kingdom,,,,,,,
153,559418,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,7/8/11 11:36,2.95,12681,France,,,,,,,
154,547892,22662,LUNCH BAG DOLLY GIRL DESIGN,10,3/28/11 10:15,1.65,12669,France,,,,,,,
155,575500,22681,FRENCH BLUE METAL DOOR SIGN 6,10,11/10/11 9:57,1.25,16003,United Kingdom,,,,,,,
156,550662,22662,LUNCH BAG DOLLY GIRL DESIGN,10,4/20/11 9:29,1.65,15078,United Kingdom,,,,,,,
157,549044,22662,LUNCH BAG DOLLY GIRL DESIGN,10,4/6/11 9:11,1.65,16161,United Kingdom,,,,,,,
158,545017,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2/25/11 13:51,2.95,12361,Belgium,,,,,,,
159,C578124,22662,LUNCH BAG DOLLY GIRL DESIGN,-1,11/23/11 10:30,1.65,14049,United Kingdom,,,,,,,
160,553547,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,5/17/11 15:48,2.95,12474,Germany,,,,,,,
161,542215,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,1/26/11 12:27,2.95,12472,Germany,,,,,,,
162,543984,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2/15/11 9:35,2.95,15601,United Kingdom,,,,,,,
163,543111,22662,LUNCH BAG DOLLY GIRL DESIGN,1,2/3/11 12:44,1.65,15719,United Kingdom,,,,,,,
164,554365,22662,LUNCH BAG DOLLY GIRL DESIGN,10,5/24/11 10:22,1.65,13089,United Kingdom,,,,,,,
165,552631,21061,PARTY INVITES FOOTBALL,24,5/10/11 12:55,0.85,12684,France,,,,,,,
166,554978,22662,LUNCH BAG DOLLY GIRL DESIGN,10,5/29/11 11:05,1.65,16889,United Kingdom,,,,,,,
167,576626,84744,S/6 SEW ON CROCHET FLOWERS,1,11/15/11 17:26,1.25,12890,United Kingdom,,,,,,,
168,C551018,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-1,4/26/11 11:19,2.95,12705,Germany,,,,,,,
169,558042,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,6/24/11 13:26,2.95,13870,United Kingdom,,,,,,,
170,559362,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,7/8/11 8:43,2.95,12635,Germany,,,,,,,
171,565434,22662,LUNCH BAG DOLLY GIRL DESIGN,3,9/4/11 13:35,1.65,12867,United Kingdom,,,,,,,
172,566816,22662,LUNCH BAG DOLLY GIRL DESIGN,20,9/15/11 10:53,1.65,12731,France,,,,,,,
173,547382,22662,LUNCH BAG DOLLY GIRL DESIGN,3,3/22/11 15:31,1.65,15457,United Kingdom,,,,,,,
174,560650,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,7/20/11 11:38,2.95,15529,United Kingdom,,,,,,,
175,558262,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,6/28/11 8:45,2.55,14646,Netherlands,,,,,,,
176,558042,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,6/24/11 13:26,2.95,13870,United Kingdom,,,,,,,
177,561600,84744,S/6 SEW ON CROCHET FLOWERS,3,7/28/11 11:29,1.25,15861,United Kingdom,,,,,,,
178,547327,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/22/11 11:28,2.95,12681,France,,,,,,,
179,548732,22662,LUNCH BAG DOLLY GIRL DESIGN,10,4/4/11 10:16,1.65,16142,United Kingdom,,,,,,,
180,570640,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,10/11/11 12:38,2.95,12474,Germany,,,,,,,
181,575739,22662,LUNCH BAG DOLLY GIRL DESIGN,1,11/11/11 9:05,4.13,,United Kingdom,,,,,,,
182,542922,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2/2/11 9:06,2.95,12682,France,,,,,,,
183,568531,22662,LUNCH BAG DOLLY GIRL DESIGN,2,9/27/11 13:49,1.65,16713,United Kingdom,,,,,,,
184,C576561,22681,FRENCH BLUE METAL DOOR SIGN 6,-1,11/15/11 13:22,1.06,15311,United Kingdom,,,,,,,
185,563614,22662,LUNCH BAG DOLLY GIRL DESIGN,100,8/18/11 8:51,1.45,12415,Australia,,,,,,,
186,566847,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,9/15/11 11:57,2.95,15005,United Kingdom,,,,,,,
187,552262,21061,PARTY INVITES FOOTBALL,12,5/8/11 11:37,0.85,14911,EIRE,,,,,,,
188,554033,22662,LUNCH BAG DOLLY GIRL DESIGN,20,5/20/11 14:06,1.65,16187,United Kingdom,,,,,,,
189,554648,22662,LUNCH BAG DOLLY GIRL DESIGN,10,5/25/11 12:44,1.65,12562,France,,,,,,,
190,537370,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,12/6/10 12:44,2.95,13155,United Kingdom,,,,,,,
191,572461,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,10/24/11 12:56,2.95,17344,United Kingdom,,,,,,,
192,541809,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,1/21/11 14:58,4.13,,United Kingdom,,,,,,,
193,548011,22662,LUNCH BAG DOLLY GIRL DESIGN,200,3/29/11 11:14,1.45,14646,Netherlands,,,,,,,
194,541215,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1/14/11 13:42,1.65,14329,United Kingdom,,,,,,,
195,559607,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,7/11/11 11:39,2.95,12681,France,,,,,,,
196,564039,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,24,8/22/11 12:40,2.95,12645,Germany,,,,,,,
197,543349,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2/7/11 13:13,2.95,17774,United Kingdom,,,,,,,
198,536401,84744,S/6 SEW ON CROCHET FLOWERS,1,12/1/10 11:21,1.25,15862,United Kingdom,,,,,,,
199,562878,22662,LUNCH BAG DOLLY GIRL DESIGN,1,8/10/11 10:45,1.65,16241,United Kingdom,,,,,,,
200,565287,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,9/2/11 11:42,2.95,12483,Sweden,,,,,,,
201,554465,22662,LUNCH BAG DOLLY GIRL DESIGN,10,5/24/11 12:36,1.65,13534,United Kingdom,,,,,,,
202,540520,21061,PARTY INVITES FOOTBALL,1,1/9/11 12:31,0.85,17555,United Kingdom,,,,,,,
203,572763,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,10/26/11 9:54,2.95,12812,Japan,,,,,,,
204,541676,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1/20/11 14:01,1.65,15379,United Kingdom,,,,,,,
205,578463,22662,LUNCH BAG DOLLY GIRL DESIGN,10,11/24/11 12:30,1.65,12757,Portugal,,,,,,,
206,558571,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,6/30/11 14:46,2.95,17017,United Kingdom,,,,,,,
207,559499,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,7/8/11 14:22,4.13,,United Kingdom,,,,,,,
208,C555273,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,6/1/11 16:33,2.95,12708,Germany,,,,,,,
209,543474,22662,LUNCH BAG DOLLY GIRL DESIGN,4,2/8/11 15:09,1.65,14415,United Kingdom,,,,,,,
210,568645,22662,LUNCH BAG DOLLY GIRL DESIGN,20,9/28/11 11:38,1.65,12656,France,,,,,,,
211,559549,22662,LUNCH BAG DOLLY GIRL DESIGN,1,7/10/11 15:25,1.65,13230,United Kingdom,,,,,,,
212,572763,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,10/26/11 9:54,2.95,12812,Japan,,,,,,,
213,556494,22662,LUNCH BAG DOLLY GIRL DESIGN,3,6/12/11 14:57,1.65,17802,United Kingdom,,,,,,,
214,562537,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,8/5/11 15:02,2.95,12517,Germany,,,,,,,
215,553835,22662,LUNCH BAG DOLLY GIRL DESIGN,10,5/19/11 11:50,1.65,13529,United Kingdom,,,,,,,
216,544474,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2/21/11 9:52,2.95,12423,Belgium,,,,,,,
